nome,idade,time,posicao,partidas,minutos,gols,assistencias,chutes,passes_chave,dribles,faltas_sofridas,impedimentos,desarmes_sofridos,dominios_errados,desarmes,interceptacoes,faltas_cometidas,impedimentos_ganhos,afastadas_perigo,dribles_sofridos,Blocks,gols_contra,passes,perc_passes,cruzamentos,bolas_longas,enfiadas,nota
Fabián Noguera,29,Estudiantes,D(C),25,2250,4,1,1.2,0.3,0.2,0.2,0.1,0.1,0.5,1.2,2,0.9,1.1,4.6,0.5,0.5,-,32.9,72.4,-,2.5,-,7.09
Ezequiel Fernández,19,Boca Juniors,Midfielder,2,166,-,-,-,-,2,6.0,-,2,1,3.5,0.5,0.5,-,0.5,1.5,0.5,-,64.0,86.7,-,2.5,-,7.09
Maximiliano Coronel,32,Gimnasia LP,D(C),7(1),591,1,-,0.5,0.1,0.3,0.9,-,-,0.6,0.8,2.3,0.8,0.3,3.3,0.1,0.8,-,30.8,81.7,-,2.8,-,7.08
Jorman Campuzano,25,Boca Juniors,DMC,13(1),1140,-,2,0.1,0.3,0.8,2.0,-,0.7,0.9,2.9,2.5,1.1,0.1,1.2,1.3,0.2,-,48.4,86.7,-,3.4,-,7.08
Iván Gómez,25,Club Atletico Platense,DMC,23,1965,1,2,0.8,0.9,1.7,0.8,-,0.9,2.1,3.3,2.0,1.5,-,0.7,1.3,0.3,-,33.3,79.2,0.1,1.6,-,7.07
Nery Domínguez,31,Racing Club,"D(C),DMC",19(1),1723,1,-,0.2,0.7,0.3,1.1,-,0.2,0.3,1.7,2.0,0.8,0.7,2.8,0.8,0.8,-,64.9,84.4,0.3,6.6,0.1,7.07
Adonis Frias,24,Defensa y Justicia,D(C),24,2160,-,1,0.6,0.2,1.0,1.3,0.1,0.3,1.0,1.6,1.4,1.0,0.9,4.8,0.5,0.9,-,51.2,84.2,-,4.3,-,7.07
Federico Mancuello,33,Velez Sarsfield,M(CL),20(3),1667,3,5,1.4,1.7,0.5,0.7,-,0.6,1.3,2,1.0,1.3,-,0.9,0.6,0.1,-,50.1,83.9,1.4,3.2,0.1,7.07
Mauro Luna Diale,22,Union,FW,10(2),944,4,1,1.8,1.3,1.7,1.3,0.3,2.3,2.6,2.2,0.2,1.6,-,0.1,1.0,-,-,20.9,67.7,0.3,0.5,0.1,7.07
Matías Suárez,33,River Plate,"AM(CL),FW",5(3),479,3,3,2.0,1.5,0.6,1.6,1.1,1,3.0,-,0.5,1.0,-,0.4,0.5,-,-,19.6,70.1,0.1,0.9,0.4,7.07
Aníbal Moreno,22,Racing Club,DMC,22,1877,1,1,0.5,0.5,1.0,0.9,-,0.3,1.5,3.5,1.8,1.6,-,1.7,1.6,0.3,-,46.0,85.0,0.1,3.1,-,7.06
Agustín Almendra,22,Boca Juniors,DMC,13(2),965,3,1,2.2,1.5,1.1,1.0,-,0.8,1.3,1.7,0.8,0.5,-,0.2,1.4,0.1,-,48.9,83.5,0.5,5.5,0.1,7.06
Alan Soñora,23,Independiente,M(C),17,1365,4,4,1.4,1.6,1.1,0.5,-,0.5,1.9,0.9,1.0,0.3,-,0.2,0.8,0.1,-,47.0,90.1,0.9,2.1,0.2,7.06
Víctor Malcorra,34,Lanus,AM(L),19(3),1630,6,7,1.5,2.3,0.8,1.4,0.3,0.9,2.2,1.1,0.3,0.5,-,0.6,1.0,0.1,-,24.1,68.0,2.3,1.5,-,7.06
Robert Rojas,25,River Plate,D(CR),15(1),1311,2,1,0.9,0.4,0.4,0.4,0.1,0.2,1.2,2.1,1.1,0.8,0.3,2.1,0.2,0.3,-,46.8,83.8,0.2,1.4,0.1,7.06
José Devecchi,26,Aldosivi,GK,25,2250,-,-,-,-,-,0.1,-,-,0.1,-,0.1,-,-,1.3,0.1,-,-,29.2,62.4,-,7.3,-,7.05
Matías Melluso,23,Gimnasia LP,D(L),15,1342,-,-,0.4,0.6,0.7,1.9,0.1,0.5,1.2,3.3,2.7,1.6,0.2,3.5,1.3,0.5,-,37.7,70.5,0.3,2.4,-,7.05
Paolo Goltz,36,Colon,D(C),10,890,1,-,0.3,0.2,0.2,0.4,0.1,0.1,0.3,1.6,2.4,0.9,0.7,5.5,0.9,1.1,-,47.9,83.3,-,6.0,-,7.04
José Moya,29,Huracan,D(C),6(1),557,2,-,0.7,0.1,0.3,0.4,-,0.3,0.3,2,1.3,0.7,1.1,3.4,0.4,0.3,-,28.4,76.9,-,1.9,-,7.04
Cristian Lema,32,Newell's Old Boys,D(C),17,1449,-,-,1.4,0.6,0.1,0.4,-,0.1,0.4,1.6,2.1,1.3,0.3,4.5,0.6,0.5,-,48.7,74.8,-,5.3,-,7.03
Cristian Marcial,26,Club Atletico Platense,Defender,1(1),99,-,1,-,0.5,-,-,-,0.5,1.0,2.5,1.0,-,-,1.5,0.5,-,-,12.0,83.3,0.5,0.5,-,7.03
Jorge Broun,35,Rosario Central,GK,18,1570,-,-,-,-,0.1,0.3,-,-,0.1,0.1,0.1,-,-,0.8,0.2,-,-,39.6,67.0,-,7.1,-,7.02
José Canale,25,Newell's Old Boys,D(C),11,867,-,-,0.2,0.2,0.9,0.7,-,0.3,0.3,2.0,1.9,0.8,0.6,4.8,0.6,0.9,-,32.2,75.7,-,3.1,-,7.02
Ramiro Carrera,28,Atletico Tucuman,"AM(CLR),FW",20(1),1546,6,2,2.4,1.7,1.1,2.2,0.2,1.5,3.3,1.7,0.6,1.8,-,0.6,0.7,0.1,-,20.9,60.1,1.5,0.9,-,7.02
Jesús Dátolo,37,Banfield,M(CL),7(9),805,3,2,1.0,1.9,1.6,1.2,0.1,0.8,1.6,0.8,0.5,0.6,-,0.4,0.4,0.1,-,26.5,80.7,1.4,2.0,-,7.02
Edwin Cardona,29,Boca Juniors,AM(CL),9(3),667,1,3,1.8,2.7,1.3,0.3,0.1,1.0,0.8,0.8,0.6,1.0,-,0.2,0.5,-,-,37.0,78.2,1.6,3.5,0.3,7.02
David Martínez,24,River Plate,D(C),15(2),1411,-,-,0.2,0.2,0.3,0.2,-,0.2,0.5,1.9,1.5,1.2,0.8,3.2,0.7,0.5,-,69.1,83.6,0.1,5.2,0.1,7.01
Jonathan Bay,29,Central Cordoba de Santiago,"D(L),M(L)",21,1890,-,1,0.9,1.0,1.0,1.4,0.1,0.8,1.6,2.3,2.0,0.9,0.3,2.3,0.9,0.1,-,29.5,65.3,1.1,2.1,-,7.0
Jorge Rodríguez,26,Estudiantes,"D(CR),DMC",15(1),1351,-,1,0.6,0.4,0.8,1.4,-,0.4,0.9,2.6,1.3,1.4,-,1.3,0.7,0.4,-,46.0,78.3,0.1,3.1,0.1,7.0
Milton Giménez,25,Central Cordoba de Santiago,FW,21(2),1807,11,4,3.1,1.1,0.7,1.2,0.6,1.3,3.5,0.7,0.2,2.2,-,1.2,0.7,0.1,-,16.6,65.1,0.1,1.0,-,7.0
Francisco Gerometta,22,Gimnasia LP,D(R),24,2146,-,3,0.5,0.5,1.4,0.7,-,0.5,1.9,3.3,1.7,1.6,0.2,2.8,1.6,-,1,34.4,67.9,0.5,1.7,-,7.0
Carlos Auzqui,31,Talleres,"AM(CLR),FW",21(1),1699,5,3,1.4,1.9,1.1,1.1,0.1,0.9,2.0,1.2,0.5,2.1,-,0.7,1.2,-,-,30.0,72.9,1,1.3,0.1,6.99
Facundo Mansilla,23,Newell's Old Boys,D(C),12(2),1173,1,-,0.7,-,0.6,0.5,-,0.2,0.6,2.1,2.1,0.7,0.4,4.5,0.7,0.5,-,38.6,80.6,-,2.4,-,6.99
Federico Lértora,31,Colon,DMC,24,2091,1,-,0.7,0.4,0.3,1.4,0.1,0.7,1.3,2.3,1.7,1.3,-,3.2,1.7,0.6,-,42.8,79.7,-,2.1,-,6.99
Tomás Jacob,17,Newell's Old Boys,Defender,4,316,-,-,0.5,0.3,1.0,0.8,-,-,1,3.5,3.5,1.3,0.5,2.5,2.3,0.3,-,29.3,67.5,0.3,1.0,-,6.99
Gastón Ávila,20,Rosario Central,D(C),17,1530,3,-,1.5,0.4,0.5,1.8,-,0.3,0.1,2.5,2.1,0.9,0.9,2.3,0.8,0.5,-,55.2,76.6,0.1,7.2,0.1,6.99
Jonatan Maidana,36,River Plate,D(C),3(4),466,-,-,0.7,-,0.1,0.4,-,-,-,0.6,1.0,0.1,0.4,3.3,0.7,0.6,-,35.6,87.1,-,1.6,-,6.99
Leonardo Sigali,34,Racing Club,D(C),23,1982,1,1,0.3,0.3,0.5,1.4,-,0.1,0.4,1.4,1.3,0.9,0.5,3.4,0.3,0.9,-,60.3,84.1,0.1,6.5,-,6.98
Lucas Romero,27,Independiente,"D(R),DMC",19(1),1585,1,-,0.9,0.6,1.1,1.5,-,1.1,1.2,2.3,2.1,1.4,0.1,1.3,1.0,0.4,-,59.5,83.8,0.1,5.1,-,6.98
Nahuel Tenaglia,26,Talleres,D(CR),23(1),2078,3,1,1.2,0.3,0.5,0.6,0.1,0.4,0.8,2.1,1.3,0.8,0.7,3.5,0.8,0.3,-,48.4,79.3,0.2,4.5,-,6.98
Tomás Cardona,26,Defensa y Justicia,D(C),4,360,-,-,-,0.3,0.3,0.5,-,-,0.3,1.8,2.0,1.0,1,5.8,0.5,0.5,-,60.0,82.1,-,5.3,-,6.98
Sebastián Palacios,30,Independiente,"AM(LR),FW",9,721,-,4,1.8,2.2,1.4,2.1,0.1,1.9,2.4,0.7,0.7,1.3,-,-,0.7,0.2,-,23.4,73.5,1.4,0.8,-,6.97
Braian Romero,30,River Plate,"AM(LR),FW",13(8),1189,10,2,2.7,0.7,0.7,1.0,0.3,0.9,1.9,0.6,-,1.3,-,0.6,0.9,-,-,12.5,75.7,0.1,0.4,-,6.97
Eros Mancuso,22,Boca Juniors,Defender,4(2),421,1,1,1.3,0.7,1.3,1.0,-,0.7,1.2,1.2,0.8,1.2,-,1,0.5,-,-,32.2,78.2,0.2,1.3,-,6.97
Eduardo Salvio,31,Boca Juniors,M(CR),3(3),277,1,1,2.0,0.3,2.2,1.0,0.3,1.7,2.0,-,0.2,0.2,-,-,0.2,-,-,16.8,89.1,-,0.2,-,6.96
Gastón González,20,Union,AM(L),15(8),1432,5,6,1.1,1.5,2.0,0.9,0.1,1.6,2.8,1,0.6,0.9,-,0.4,0.6,-,-,15.8,71.9,1,0.4,-,6.96
Tomás Guidara,26,Velez Sarsfield,D(R),22(1),1993,-,2,0.3,0.6,1.2,0.9,-,0.7,1.6,2.7,0.8,1.5,-,2.4,0.9,0.3,-,44.1,77.4,0.7,1.6,-,6.96
Francisco Ortega,23,Velez Sarsfield,D(L),20,1718,1,3,0.1,0.9,1.3,0.9,-,0.9,2.0,2.5,1.1,1.6,0.1,1.8,1.1,0.1,1,45.4,80.6,0.5,1.0,-,6.96
Lucas Merolla,26,Huracan,D(C),16,1440,-,-,0.4,0.3,0.1,0.9,-,-,0.3,2.1,1.7,1.4,1.1,3.9,0.7,0.6,-,36.3,74.4,-,2.6,-,6.96
Imanol Machuca,22,Union,AM(R),9(4),765,2,2,0.8,2.0,1.9,1.2,-,1.8,2.0,0.5,0.6,0.4,-,0.2,0.5,-,-,13.8,68.9,1.6,0.4,-,6.96
Nicolás Ezequiel Fernández,22,San Lorenzo,M(L),15(3),1368,2,-,1.5,0.8,2.5,1.4,0.1,1.3,2.3,2.4,0.7,1.7,0.1,0.9,0.6,0.3,-,32.4,77.4,0.7,1.0,-,6.96
Ezequiel Cañete,22,Union,M(C),12,1002,-,1,1.1,1.0,1.5,1.1,-,1.2,1.9,2.4,1.3,2.8,-,1.3,1.3,0.3,-,42.3,84.6,1.3,2.3,-,6.95
Gabriel Florentín,23,Argentinos Juniors,AM(CL),20(2),1739,2,2,2.0,1.2,2.0,1.2,0.2,1.7,2.7,2.0,0.8,1.5,-,0.1,0.8,0.1,-,42.3,82.7,1.1,4.9,-,6.95
Claudio Yacob,34,Huracan,DMC,14,1260,1,-,1.1,0.4,0.4,1.6,-,0.2,0.6,3.1,1.1,1.1,0.1,1.1,0.9,0.3,-,41.8,81.2,-,1.9,0.1,6.94
Enzo Fernández,21,River Plate,DMC,15(5),1400,2,3,1.1,1.5,0.9,1.1,0.1,0.9,1.4,1.7,0.8,1.0,0.1,0.3,1.9,-,-,55.5,84.3,0.1,4.2,0.2,6.94
Gonzalo Montiel,25,River Plate,"D(CR),M(R)",3(1),291,-,-,0.3,0.5,0.5,0.5,-,-,1.0,2.0,0.5,0.3,0.3,1.8,0.5,-,-,49.3,90.9,1,3.0,0.3,6.94
Emanuel Insúa,30,Aldosivi,D(L),15(4),1416,-,2,0.7,0.7,2.3,1.7,0.1,0.5,1.8,1.9,1.8,1.6,0.1,1.5,1.1,0.3,-,30.4,74.7,0.5,0.5,-,6.94
José Sand,41,Lanus,FW,24,2125,15,2,2.0,0.9,0.9,1.0,1.2,1.3,2.9,0.3,-,0.6,-,0.5,0.5,0.2,-,20.7,71.2,-,0.6,-,6.94
Sergio Barreto,22,Independiente,D(C),23,2037,-,-,0.8,0.1,0.1,0.6,-,-,0.3,1.5,1.7,1.4,0.4,4.2,0.6,0.7,-,47.9,83.7,-,2.0,-,6.93
Franco Di Santo,32,San Lorenzo,"AM(CLR),FW",19,1693,6,-,1.9,0.9,0.5,1.5,0.6,0.8,2.7,0.6,0.1,2.1,0.1,0.9,0.6,0.1,-,21.3,52.5,0.2,0.3,0.2,6.93
Matías de los Santos,29,Velez Sarsfield,D(C),22(1),2025,1,-,0.7,0.2,0.3,0.4,-,0.1,0.5,1.0,1.3,0.8,0.4,3.2,0.2,1,-,58.2,82.7,-,5.2,-,6.92
Luciano Lollo,35,Banfield,D(C),23,2070,1,-,0.7,0.4,0.3,0.4,-,-,0.5,1.1,1.3,1.0,0.3,4.0,0.4,0.9,-,48.5,79.0,-,6.3,-,6.92
Lautaro Blanco,23,Rosario Central,D(L),22,1980,-,7,0.3,1.6,1.3,0.3,-,0.6,1.4,2.5,0.8,0.9,0.3,1.4,0.9,0.2,-,28.3,69.8,2.2,2.1,-,6.92
Marcos Rojo,32,Boca Juniors,D(CL),15(1),1301,1,-,0.6,0.3,0.3,0.5,-,0.1,0.6,1.4,2.0,1.4,0.3,3.1,0.2,0.5,-,62.3,82.8,0.1,5.9,-,6.92
Ignacio Chicco,25,Colon,Goalkeeper,2,180,-,-,-,-,-,0.5,-,-,-,-,0.5,-,-,0.5,-,-,-,33.0,51.5,-,8.5,-,6.92
Ezequiel Bullaude,21,Godoy Cruz,AM(C),17(7),1703,7,3,2,1,1.9,1.8,0.3,1.5,2.9,1.6,0.4,1.8,-,0.4,0.9,-,-,23.8,74.0,-,0.8,0.1,6.92
Cristian Pavón,26,Boca Juniors,"AM(LR),FW",14(7),1265,4,4,2,1.2,2.1,0.5,0.4,1.8,1.4,0.9,0.3,0.7,-,-,0.4,-,-,23.8,76.6,1,1.5,-,6.92
Brahian Alemán,32,Gimnasia LP,"M(CLR),FW",18(6),1621,3,3,2.2,1,1.5,3.3,-,1.9,2.6,1.1,1.0,1.1,0.1,1.4,1.3,0.3,-,26.3,70.8,0.8,2.3,-,6.91
Eugenio Mena,33,Racing Club,"D(L),M(L)",14(1),1185,-,1,0.3,1.1,1.4,0.8,0.1,0.5,1.6,1.2,1.6,0.8,0.3,1.3,0.9,0.2,-,41.1,80.9,0.7,1.5,-,6.91
Malcom Braida,24,Aldosivi,AM(LR),23,1839,2,6,1.5,0.9,1.8,1.7,0.3,1.9,3.3,1.4,0.5,0.8,-,0.7,1,0.1,-,21.1,64.3,0.9,0.7,-,6.91
Santiago Cáseres,25,Velez Sarsfield,DMC,10(2),891,1,-,0.3,0.5,0.3,1.5,-,0.9,0.6,2.7,1.1,1.5,-,0.8,0.8,0.3,-,51.7,90.0,-,5.4,-,6.91
Miguel Merentiel,26,Defensa y Justicia,FW,15(9),1425,10,3,1.8,0.6,0.8,0.6,0.4,0.5,1.3,0.5,0.1,0.4,-,0.3,0.4,-,-,13.3,68.8,0.2,0.3,0.1,6.9
Frank Fabra,31,Boca Juniors,D(L),16(2),1428,2,-,0.2,0.9,1.4,1.0,0.1,0.6,1.8,1.5,1.4,1.0,0.1,0.5,0.4,0.3,-,40.7,78.6,0.8,2.3,-,6.9
Nicolás Tripicchio,26,Defensa y Justicia,D(CR),20(1),1792,2,2,0.2,0.1,0.6,0.8,-,0.8,1.4,1.5,2.0,1.0,0.6,2.5,0.9,0.7,-,39.3,82.3,-,1.4,-,6.9
Facundo Cardozo,26,Club Atletico Platense,D(CL),13,1147,-,-,0.4,0.2,1.0,1.2,-,0.8,0.8,1.9,1.8,1.2,0.2,3.5,0.5,0.7,-,30.6,57.8,0.1,2.7,-,6.89
Marcos Miers,32,Aldosivi,D(C),9,763,-,-,-,0.1,0.2,0.8,-,-,0.9,2.4,1.8,1.1,0.2,5.1,0.3,0.4,-,25.2,73.6,-,2.4,-,6.89
Alexander Bernabei,21,Lanus,D(L),23(1),2003,-,2,1.3,0.9,2.9,0.6,-,1,2.8,2.0,1.3,1.8,0.2,1.3,1.4,0.3,-,33.8,68.1,0.8,1.7,0.1,6.89
Fabricio Bustos,25,Independiente,D(R),23,2070,1,2,0.3,0.7,1.3,1.4,0.3,0.7,1.3,1.5,1.0,0.4,-,1.6,0.3,0.3,-,59.9,78.4,0.7,2.7,-,6.89
Gabriel Ávalos,31,Argentinos Juniors,FW,14(1),1139,4,-,2.1,0.9,1.0,1.0,0.3,1.3,3.4,0.9,0.1,1.9,-,0.9,0.4,-,-,23.1,63.1,-,0.3,-,6.88
Gustavo Canto,28,Banfield,D(L),13,1058,-,-,0.5,0.6,0.7,0.5,-,0.6,1.2,2.4,2.2,1.2,0.2,2.1,0.9,0.3,1,30.1,66.8,0.2,1.5,-,6.88
Claudio Corvalán,33,Union,D(CL),24,2122,1,3,0.8,0.5,0.1,1.0,0.2,0.3,0.6,1.6,2.7,1.1,0.3,2.8,0.4,0.3,-,34.2,70.4,0.3,2.7,-,6.88
Jonathan Galván,29,Huracan,D(C),23,2070,-,2,0.7,0.2,0.2,0.4,-,0.1,0.7,1.2,1.3,0.9,0.3,4.4,0.9,0.6,-,50.4,74.3,-,8.4,-,6.88
Giuliano Galoppo,22,Banfield,DMC,22(1),1976,3,-,2.8,0.8,0.8,2.0,-,0.8,1.7,2.1,1.1,1.3,-,0.8,1.6,0.1,-,37.0,72.8,0.1,2.3,-,6.88
Mauro Osores,25,Atletico Tucuman,D(C),9(1),797,-,-,0.4,-,1.2,0.5,-,0.4,0.4,1.7,1.6,0.8,0.5,4.2,0.8,0.4,-,35.1,70.4,-,2.3,-,6.88
Gabriel Hachen,31,Defensa y Justicia,M(C),20(4),1435,3,1,0.8,0.9,1.5,1.5,-,0.9,1.9,1.6,0.9,0.7,-,0.3,0.9,0.1,-,26.0,80.4,0.1,1.5,0.1,6.88
Lisandro López,32,Boca Juniors,D(C),8(1),740,1,-,1.1,0.3,0.3,0.3,-,0.2,0.2,1.4,1.9,0.3,0.9,2.9,0.4,0.4,1,54.2,84.8,-,4.0,-,6.87
Gustavo Del Prete,25,Estudiantes,FW,17(7),1504,9,3,1.9,1.1,1,1.4,0.4,1.1,2.3,0.6,0.1,1.0,-,0.3,1,-,-,16.8,70.1,0.3,0.4,-,6.87
Gabriel Carabajal,31,Argentinos Juniors,AM(CLR),16(6),1300,4,4,1.3,1.3,1.3,1.6,0.1,0.9,1.6,0.8,0.4,0.5,-,0.2,0.7,-,-,25.9,80.2,1,2.6,-,6.87
Javier Pinola,39,River Plate,D(CL),5,390,-,1,0.4,0.6,-,0.4,-,-,0.8,2.4,1.2,1.0,0.8,2.4,-,-,-,48.4,83.9,-,3.4,-,6.87
Cristián Zapata,35,San Lorenzo,D(C),16(1),1396,1,1,0.9,0.2,0.5,0.8,0.1,0.4,0.2,1.2,1.4,0.9,0.7,4.6,0.4,0.4,-,39.9,82.6,-,2.1,0.1,6.87
Jorge Carrascal,23,River Plate,AM(CL),10(11),1049,3,3,1.3,0.9,2.1,1.5,0.1,1.3,2.5,1.2,0.3,0.9,-,-,0.8,-,-,25.8,77.9,0.3,0.5,-,6.86
Fernando Román,23,Aldosivi,D(L),10,870,-,-,0.6,0.6,1,0.5,-,0.4,1.7,2.1,2.1,1.6,0.3,2.8,2.5,0.4,-,25.3,69.2,0.4,0.7,-,6.86
Rodrigo Aliendro,31,Colon,M(CR),23,1960,4,-,1.8,0.5,1.9,2.0,-,1.5,2.6,1.7,1.6,1.0,0.1,0.7,1.7,0.5,-,41.7,76.7,0.1,2.7,-,6.86
Andrés Roa,28,Independiente,AM(CLR),18(2),1441,3,1,1.0,1,1.9,1.6,0.1,1.5,2.5,1.7,0.5,1.3,-,0.1,1.0,0.1,-,27.2,79.4,0.2,0.6,0.1,6.86
Héctor Canteros,33,Patronato de Parana,M(C),16(2),1334,1,4,1.1,1.9,1.3,0.5,-,1.3,2.4,1.6,1.0,1.3,-,0.2,1.6,-,-,50.1,80.9,1.5,3.2,0.1,6.86
Matías Esquivel,23,Lanus,M(C),12(9),1006,-,5,0.6,1.4,1.9,0.9,-,1.1,2.0,1.9,0.6,0.6,-,-,1.4,0.1,-,24.4,76.8,1,1.2,0.1,6.86
Carlos Zambrano,32,Boca Juniors,D(C),4(1),424,1,-,0.8,-,-,2.4,-,-,0.2,1.0,1.8,1.6,0.4,2.6,0.6,-,-,51.8,91.9,-,4.2,-,6.86
Juan Cáceres,21,Racing Club,D(R),15(2),1260,-,1,0.9,0.6,0.8,0.8,0.2,1.2,1.2,2.6,1.2,1.1,0.3,2.2,1.4,0.3,-,37.8,77.8,0.5,2.4,-,6.86
Elías Gómez,27,Argentinos Juniors,"D(L),M(L)",20(2),1772,-,-,0.9,1.3,1.7,1.7,0.2,1.2,1.7,1.5,0.8,0.7,0.2,1.1,0.7,0.1,-,31.8,74.8,1.3,2.0,-,6.86
Guillermo Burdisso,33,Lanus,D(C),21,1886,1,1,0.9,0.1,0.1,1.0,0.1,0.1,0.2,1.3,1.3,1.0,0.6,4.8,0.5,1,-,38.7,77.2,-,2.6,-,6.86
Franco Calderón,23,Union,D(C),22,1972,2,-,0.8,0.3,0.2,0.9,-,0.2,0.5,1.5,1.4,0.9,0.6,4.1,0.6,0.5,-,35.9,75.3,0.1,3.9,-,6.85
Gianluca Ferrari,24,Godoy Cruz,D(C),10(1),970,-,-,0.7,0.3,0.1,0.5,-,0.1,1.0,2.6,1.5,1.5,1.2,4.7,0.5,0.5,-,40.5,76.4,-,2.8,-,6.85
Hernan Farías,19,Colon,"AM(C),FW",22,1820,3,3,2,0.7,3,3.0,0.6,2,3.6,0.7,0.1,1.3,-,0.1,0.4,-,-,22.3,77.8,-,0.9,0.1,6.85
Gastón Suso,31,Arsenal Sarandi,D(C),18(1),1591,-,-,0.6,0.1,0.2,0.5,-,-,0.2,1.6,1.5,0.8,0.5,4.2,0.4,0.8,-,28.6,72.4,0.1,3.1,0.1,6.85
Santiago Simón,19,River Plate,AM(CR),15(1),1184,-,2,0.5,1.6,0.9,0.8,0.1,0.7,2.4,1.8,0.6,1.8,-,0.5,1.1,0.1,-,35.7,78.6,0.3,0.9,0.1,6.85
Matías Cóccaro,24,Huracan,FW,8(9),865,7,1,1.9,0.6,0.2,1.4,0.8,0.9,1.6,0.6,0.1,1.2,-,0.8,0.4,-,-,7.8,56.8,0.1,0.1,-,6.84
Germán Guiffrey,24,Gimnasia LP,D(CL),14,1216,1,-,0.3,0.3,0.6,0.9,-,0.1,0.9,2.4,1.4,0.6,0.9,3.6,0.5,0.3,-,33.9,70.7,-,3.3,-,6.84
Jonathan Bottinelli,37,Arsenal Sarandi,D(C),3,270,-,-,-,-,-,0.7,-,-,0.3,2.0,2.7,0.3,0.3,5.7,1.0,0.3,-,50.3,77.5,-,3.3,-,6.84
Franco Negri,27,Newell's Old Boys,D(L),11(3),1049,-,-,0.5,1.3,1.3,0.2,-,0.6,1.1,2.1,1.6,0.9,0.1,1.7,0.7,0.2,-,34.3,71.3,1.4,1.9,-,6.84
Kevin Gutiérrez,24,Defensa y Justicia,DMC,25,2127,-,1,0.4,0.5,1.6,0.9,-,1.1,1.5,1.9,1.4,1.0,-,1.3,1.5,0.3,-,45.1,79.6,0.5,3.6,-,6.84
Mateo Carabajal,25,Arsenal Sarandi,D(C),2,180,1,-,0.5,-,-,2.0,-,1,1.5,1.5,1.5,1.0,-,5.0,0.5,1.5,-,30.0,78.3,-,5.0,-,6.84
Leonardo Flores,24,Banfield,D(R),4,360,-,-,-,0.5,1.5,0.8,0.3,1.3,1.8,4.3,0.5,1.0,-,1.5,2.0,0.3,-,32.3,69.8,0.8,1.8,-,6.83
Cristian Núñez,21,Huracan,Midfielder,0(2),43,-,1,1.0,0.5,-,0.5,-,0.5,1.5,2.0,0.5,-,-,0.5,0.5,-,-,5.0,40.0,0.5,-,-,6.83
Ayrton Costa,22,Independiente,Midfielder,6,512,1,-,1.0,0.3,0.3,0.3,0.2,0.3,1.0,2.2,2.7,1.5,-,2.8,1.2,0.5,-,36.5,69.9,0.2,2,-,6.83
Marcelo Weigandt,22,Boca Juniors,D(R),8(2),724,1,-,1.1,0.7,0.7,0.9,0.1,1.4,1.4,2.0,1.0,0.8,-,0.9,1.8,0.2,-,31.6,80.7,0.6,1.6,-,6.82
Milton Casco,33,River Plate,"D(LR),M(L)",18,1618,-,3,0.1,1.1,0.4,1.4,0.2,0.6,1.6,1.6,1.4,1.2,0.2,0.9,0.9,-,-,54.8,80.1,0.5,2.9,0.1,6.82
Rafael Pérez,32,Talleres,D(C),24,2160,1,-,0.4,-,0.3,1.0,0.2,0.1,0.3,1.0,1.1,0.8,0.6,4.6,0.5,0.3,-,54.7,86.4,-,4.1,-,6.82
Brian Aguirre,21,Lanus,D(R),20(2),1789,-,1,0.4,0.5,1,0.6,-,0.4,0.9,3.1,1.4,1.1,0.3,1.7,1.0,0.5,-,32.6,69.7,0.3,2.1,-,6.82
Cristian Vega,28,Central Cordoba de Santiago,DMC,20(1),1687,1,1,1.0,0.5,1,1.3,-,0.7,1.6,3.5,0.9,1.4,0.1,0.8,2.1,0.2,-,40.0,74.9,0.1,3.3,-,6.82
Felipe Salomoni,19,River Plate,Midfielder,0(1),45,-,-,1.0,-,2,1.0,-,-,2.0,3.0,1.0,1,-,1.0,2.0,-,-,17.0,64.7,-,-,-,6.82
Pablo Pérez,36,Newell's Old Boys,M(C),11(2),796,1,-,1.2,1.1,1.5,2.0,-,1.4,1.3,2.8,0.6,1.9,-,0.5,1.5,0.3,-,34.2,74.3,0.2,1.8,-,6.82
Matías Pérez,37,Gimnasia LP,AM(CLR),8(4),649,2,-,0.4,1,0.6,2.6,0.1,1,2.0,2.3,0.6,0.8,0.1,0.3,0.7,0.1,-,27.3,81.1,0.1,2.1,0.1,6.82
Gabriel Alanís,28,Sarmiento,"D(L),M(CL)",25,1975,3,2,1.2,1.2,1.2,0.4,0.2,0.7,2.2,1.6,0.7,0.7,0.2,1,0.6,0.2,-,21.4,72.2,1.4,0.9,-,6.82
Lucas Gamba,34,Rosario Central,"AM(LR),FW",14(1),1013,4,4,1.7,1.3,0.2,1.2,0.3,1.2,1.2,0.5,0.2,0.7,0.1,-,0.4,-,-,13.6,77.0,0.4,0.1,0.1,6.82
Hugo Silva,30,Defensa y Justicia,"D(CR),M(R)",7(3),611,1,1,0.2,0.9,0.2,0.1,-,0.1,1.0,2.1,0.7,1.7,-,1.9,0.9,0.1,-,17.4,72.4,0.7,0.8,-,6.81
Agustín Rogel,24,Estudiantes,D(C),24,2160,-,1,0.9,0.3,-,0.7,-,0.1,0.3,1.4,1.5,1.1,1.1,4.7,0.5,0.7,1,35.8,73.0,-,3.7,-,6.81
