nome,idade,time,posicao,partidas,minutos,gols,assistencias,chutes,passes_chave,dribles,faltas_sofridas,impedimentos,desarmes_sofridos,dominios_errados,desarmes,interceptacoes,faltas_cometidas,impedimentos_ganhos,afastadas_perigo,dribles_sofridos,Blocks,gols_contra,passes,perc_passes,cruzamentos,bolas_longas,enfiadas,nota
José Welison,27,Sport Recife,"D(R),DMC",28(3),2461,2,1,1.5,0.8,1.1,1.0,0.1,0.8,1.3,1.9,1.2,1.6,-,0.8,0.9,0.6,-,38.1,84.2,0.5,3.4,-,6.92
João Lucas,24,Cuiaba,D(R),32(2),2914,-,2,0.6,0.8,0.8,1.6,0.1,0.4,1.4,3.3,1.6,1.6,0.4,1.7,0.8,0.2,-,34.7,75.8,0.4,1.8,-,6.92
Yuri Alberto,21,Internacional,"AM(L),FW",31(2),2697,12,3,2.7,0.8,0.5,1.4,0.4,0.9,2.5,0.4,0.2,1.8,-,0.8,0.5,0.2,-,19.6,71.1,0.1,0.2,-,6.92
Nathan Silva,24,Atletico MG,"D(C),DMC",28,2520,3,1,0.7,0.1,-,0.6,-,0.1,0.2,1.3,1.6,2,0.3,2.8,0.4,0.5,2,60.9,89.3,-,2.4,-,6.91
João Ricardo,33,Ceara,GK,13,1126,-,-,-,-,-,0.2,-,-,-,-,-,-,-,0.8,-,-,-,24.8,68.6,-,8.3,-,6.91
Diego,37,Flamengo,M(CLR),19,1389,-,1,0.8,1,2.3,2.2,-,0.9,1.5,1.3,0.8,2.2,-,0.3,1.6,0.2,-,52.3,89.2,0.3,2.8,0.1,6.91
Cleiton,24,Red Bull Bragantino,GK,34,3060,-,-,-,-,-,0.3,-,-,0.1,-,-,-,-,1.4,-,-,-,31.6,69.7,-,7.6,-,6.91
Arthur Henrique,27,Atletico GO,"D(L),M(L)",7(3),665,1,1,0.6,0.4,1.7,1.0,-,0.8,0.9,1.5,1,1,-,1.2,1,0.3,-,29.1,81.4,0.1,0.7,-,6.91
David Luiz,34,Flamengo,"D(C),DMC",7,518,-,-,0.6,0.6,0.3,0.9,0.1,0.1,0.6,0.6,1.4,1.3,0.6,1.7,0.1,1,-,41.4,87.2,0.1,5.1,-,6.91
Jailson,40,Palmeiras,GK,13(1),1191,-,-,-,0.1,-,0.4,-,-,-,0.1,-,-,-,1.9,-,-,-,24.6,68.9,-,5.6,-,6.9
Paulinho Bóia,23,Juventude,AM(L),17(3),1344,3,-,1.7,0.9,2.6,1.4,0.2,0.9,1.9,1.1,0.5,1.6,-,0.1,1.1,0.1,-,19.7,79.2,0.2,1.2,-,6.9
Daniel,27,Internacional,GK,23,2070,-,-,-,-,-,0.2,-,-,0.1,-,-,-,-,1.3,-,-,-,25.9,55.8,-,6.6,-,6.9
Natanael Pimienta,31,Atletico GO,"D(L),M(L)",17(2),1540,-,4,1.3,0.7,0.9,1.3,0.1,0.6,1.3,1.5,0.9,0.9,0.1,1.8,0.8,0.2,-,30.4,74.9,1,2.3,0.1,6.89
David Terans,27,Athletico Paranaense,AM(CL),21(8),1758,6,7,2.5,1.8,1.4,1.4,0.1,0.9,1.8,0.4,0.1,0.8,-,0.1,0.6,-,-,18.0,79.1,1.2,1.2,-,6.89
Yago Pikachu,29,Fortaleza,"D(R),M(CLR)",33(1),2876,9,5,1.7,1.6,0.5,1.8,0.3,0.8,1.3,0.9,0.7,1,-,0.8,1.2,0.1,-,28.2,80.6,0.9,1.7,-,6.88
João Victor,23,Corinthians,D(C),36,3240,-,-,0.5,0.2,0.3,1.0,-,0.1,0.5,1.3,1.4,0.6,0.5,4.0,0.3,0.6,-,60.8,87.4,-,4.0,-,6.88
Willian,33,Corinthians,AM(CLR),6(3),453,-,2,0.9,1.3,2.6,1.7,0.1,0.6,1.8,0.7,0.3,0.2,-,0.3,0.4,-,-,27.7,88.0,0.6,0.4,0.1,6.88
Gustavo Henrique,29,Flamengo,D(C),17(4),1586,2,-,0.8,0.3,0.2,0.3,-,-,0.3,0.8,0.7,1,0.3,3.1,0.6,0.4,-,46.3,88.0,-,2.4,-,6.87
Luiz Henrique,21,Fluminense,AM(LR),24(9),1888,6,2,1.4,0.8,2,1.2,0.1,1.5,2.3,1.6,0.5,0.9,-,0.9,1.3,0.1,-,17.2,78.5,0.2,0.2,-,6.87
